Product Name,MRP,Wholesale Rate,Retail Rate
20-20 Cookies Biscuit 5/- pckt 12pc,60.0,54.0,58.0
27 No Matchstick 10/-,10.0,8.5,10.0
27 No. Matchstick 1/- 6pc                          ,6.0,5.21,6.0
27 No. Matchstick 1/- pckt 10box                   ,60.0,54.0,58.0
27 No. Matchstick 1/- peti 10pckt                  ,600.0,520.0,550.0
365 Blade,15.0,12.0,13.0
4 in 1 Kaashi Dhoop10/-                                           ,180.0,100.0,108.0
5-Star 10/- Choclate Box 40pc,400.0,340.0,380.0
5-Star 5/-  Choclate,5.0,4.5,4.75
5-Star 5/-  Choclate Box 54pc,270.0,235.0,250.0
5-Star Choclate 10/-,10.0,9.0,9.5
50-50 Biscuit 10/-,10.0,9.0,10.0
50-50 Biscuit 5/- pckt 10pc,50.0,45.0,48.0
501 Dhoop Box 5/-                                                 ,192.0,100.0,108.0
501-Biddi  400/- ,400.0,370.0,380.0
502 Biddi 14/-,350.0,298.0,300.0
555 Playing Cards 20/- Box 12pc,240.0,105.0,105.0
555 Powder 500gm                                                  ,11.0,9.5,10.0
555 Powder 500gm Katta ,440.0,380.0,420.0
555 Soap Set 5pc 1kg,60.0,52.0,55.0
7 'o' Clock Blade ,55.0,50.0,52.0
7 'o' Clock Razor,75.0,65.0,70.0
Aadrak Lasan Paste 5/-                             ,5.0,4.0,5.0
Aadrak Lasan Paste 5/- Ladi  12pc                   ,60.0,48.0,55.0
Aashirwad Atta 10kg,380.0,280.0,300.0
Aashirwad Atta 5kg,195.0,143.0,155.0
Aashirwad Multigrain Atta 5kg,245.0,215.0,220.0
Aashirwad Select Atta 5kg,245.0,215.0,220.0
Achaar Masala ,80.0,60.0,60.0
Act II Microwave,25.0,22.0,25.0
Act II Popcorn 10/- ,10.0,9.0,9.6
Act II Popcorn 10/- Box 15pc,150.0,125.0,142.0
Aerodent 200gm,140.0,120.0,130.0
Agarbati 10/-,10.0,10.0,10.0
Agarbati 4 in1/-10,120.0,100.0,105.0
Agarbati 5/-,5.0,5.0,5.0
Agarbati 5/- Bundle,60.0,50.0,55.0
Airwick Room Freshner Bottle,150.0,110.0,130.0
Airwick Room Freshner Refill ,139.0,120.0,130.0
Ajino Motto pckt 500gm,125.0,65.0,70.0
Ajwain Khuli 100gm ,30.0,22.0,25.0
Ajwain Pckt 100gm ,50.0,35.0,45.0
All Clear Shampoo 200ml,133.0,120.0,125.0
All Clear Shampoo 3/- Ladi 16pc,48.0,38.0,42.0
All Out Flash Guard ,10.0,7.9,10.0
Allout Liquid,72.0,60.0,65.0
Allout Machine                                                    ,78.0,70.0,75.0
